fração_id,condominio,bloco,andar,porta,tipo_fracao,area_m2,quota_mensal,proprietario_nome,proprietario_nif,data_aquisicao,valor_aquisicao,situacao
FR0532,Vila Verde,A,3,3D,T3,1328.5,1066.69,Inês Fernandes Fernandes,291083973,2025-06-01,2547133.88,Em obras
FR1953,Condomínio Central,D,6,6E,T1,68.2,100.03,Beatriz Martins Machado,250236375,2014-01-23,86789.51,Arrendada
FR2245,Torres do Sol,Torre 1,12,12A,T2,80.0,146.3,Luis Machado Costa,243602783,2005-12-07,61590.41,Ocupada
FR1853,torres do sol,Torre 2,9,9A,T2,80.7,150.23,Daniela Rocha Oliveira,238254421,2016-09-15,108200.5,Arrendada
FR1884,Residencial Atlântico,c,4,4E,T2,91.2,103.12,carla jesus jesus,171076868,2017-09-06,121918.71,Arrendada
FR0572,Vila Verde,A,-1,G29,Garagem,84.4,61.56,Filipa Ferreira Machado,112407133,2020-07-08,171160.93,Ocupada
FR0411,Torres do Sol,Torre 1,6,6D,T2,82.7,149.45,Alexandra Cardoso Rocha,253270895,2025-08-12,117596.05,Ocupada
FR2332,Vila Verde,a,2,2B,T0,30.3,26.96,Francisco Reis Silva,217684638,2021-10-26,46926.62,Arrendada
FR0674,Torres do Sol,Torre 1,3,3C,T3,126.0,224.74,André Vieira Rocha,199612488,2017.06.26,112091.98,Ocupada
FR2131,Residencial Atlântico,c,8,8B,T3,125.6,154.74,Gonçalo Simões Silva,127781737,2011-08-19,122510.38,Arrendada
FR0812,Jardins da Cidade,norte,1,1E,T3,126.8,139.4,Jorge Raposo Simões,183765410,2019-05-26,199945.73,Vazia
FR2238,Vila Verde,a,4,4D,T1,67.0,52.19,Helena Antunes Fonseca,144401481,2015-12-23,81678.05,Ocupada
FR0119,Torres do Sol,Torre 2,0,0E,T2,91.1,161.45,Filipa Lopes Lopes,263655228,2019-02-17,113371.67,Ocupada
FR1180,Quinta das Palmeiras,A,0,0D,T2,70.9,78.36,António Matos Reis,159993890,2024-12-05,128574.78,Ocupada
FR1487,Condomínio Central,C,3,3C,T0,41.6,65.87,Miguel Rocha Simões,294854685,2018-09-28,93876.53,Arrendada
FR0045,quinta das palmeiras,A,0,Loja D,Loja,96.2,101.87,Rosa Correia Jesus,240119471,2018-05-13,164966.12,Arrendada
FR0990,Quinta das Palmeiras,b,2,2C,T3,134.1,127.13,Ana Neves Cunha,190851385,2006-03-03,76726.67,
FR1313,Jardins da Cidade,Sul,4,4E,T3,-114.1,125.23,Vítor Pires Machado,130428558,2014-08-23,457860.3676721519,Ocupada
FR1686,Torres do Sol,Torre1,4,4D,T2,91.1,160.36,Luis Matos Raposo,172999971,2019.05.10,184202.17,Vazia
FR0479,Vila Verde,A,0,0B,T2,77.8,52.88,Tiago Carvalho Ramos,184361373,2012-09-28,106830.71,Ocupada
FR2068,Quinta das Palmeiras,A,2,2F,T2,71.8,63.55,Paula Carvalho Santos,156245714,2006-01-25,103657.57,Arrendada
FR0405,Jardins da Cidade,norte,2,2C,T1,60.8,67.1,Marco Raposo Fonseca,116763195,,131206.27,Ocupada
FR1384,Quinta das Palmeiras,B,0,0A,T2,87.0,87.8,Carlos  Ribeiro  Martins,286021395,2019-01-11,98745.79,Arrendada
FR0919,Quinta das Palmeiras,b,6,6A,T3,117.9,118.92,Marta Correia Cardoso,289596266,2009-09-11,79144.84,Ocupada
FR1177,Jardins da Cidade,Norte,3,3E,T2,72.7,83.33,Patrícia Fernandes Cunha,290168957,2021-12-18,102770.66,
FR2258,Residencial Atlântico,C,0,0A,T1,56.4,72.57,Carla Soares Coelho,104982112,2012-01-04,53218.55,Ocupada
FR2239,Jardins da Cidade,Sul,7,7E,T3,121.3,139.76,Sara Costa Ramos,290673196,2010-12-17,148971.23,Ocupada
FR1271,Torres do Sol,Torre 2,9,9A,T2,77.3,139.06,Rita Coelho Soares,174535914,2016-12-11,143016.3,Ocupada
FR1846,Torres do Sol,Torre1,1,1C,T1,49.2,77.56,Mónica Reis Rodrigues,173158384,2015.12.25,39088.97,Vazia
FR2463,Condomínio Central,A,3,3E,T2,83.1,120.17,paulo silva martins,290280475,2023-05-26,117728.04,Ocupada
FR0148,Condomínio Central,D,5,5B,T3,105.8,156.93,Beatriz Ribeiro Soares,173431070,2015-04-10,202880.98,Ocupada
FR2250,Quinta das Palmeiras,A,1,1F,T3,114.3,117.07,Filipa Antunes Monteiro,206542250,2013-05-15,180181.84,Vazia
FR2393,Jardins da Cidade,Sul,1,1B,T3,129.7,146.88,  Rui Simões Marques  ,239832129,2014-01-10,61631.9,Em obras
FR1224,Torres do Sol,Torre 2,10,10A,T2,95.2,163.85,Diogo Gonçalves Gomes,207723720,2011-03-06,164616.61,Arrendada
FR1183,Torres do Sol,Torre1,10,10C,T3,120.7,220.03,Teresa Martins Ribeiro,113073790,2012-06-21,165619.88,Ocupada
FR1904,Condomínio Central,C,5,5F,T4,171.8,265.79,José Cunha Vieira,137148272,2021-10-28,217239.88,Arrendada
FR1866,Condomínio Central,B,6,6E,T3,135.5,202.76,Miguel Monteiro Gomes,209648293,2011-02-15,230778.85,Arrendada
FR0573,Quinta das Palmeiras,A,5,5E,T2,93.5,95.19,Jorge Neves Soares,191338816,2015-10-13,180866.45,Vazia
FR1955,Torres do Sol,Torre 1,10,10E,T3,133.8,241.59,PATRÍCIA ALVES FONSECA,237575623,2014-12-14,227324.83,Arrendada
FR0568,Quinta das Palmeiras,A,6,6B,t3,109.1,106.23,Teresa Matos Matos,248227167,2008-08-03,116557.36,
FR1207,Torres do Sol,Torre1,3,3E,T1,62.4,112.56,Jorge Soares Lopes,137229773,2010-08-22,90027.35,Arrendada
FR0219,Condomínio Central,C,4,4B,T1,55.8,92.18,Rita Raposo Cruz,159252337,2021-02-06,121274.9,Em obras
FR1412,Torres do Sol,Torre1,12,12E,T2,79.0,146.32,Filipa Marques Matos,139408315,2010-08-04,81283.95,Vazia
FR2305,Residencial Atlântico,c,2,2B,T3,122.0,149.23,Vasco Alves Marques,171165288,2007-05-27,126568.9,Arrendada
FR1589,Jardins da Cidade,Norte,5,5D,T2,,76.19,Nuno Oliveira Ferreira,258521819,2024-08-10,154808.59,Arrendada
FR0634,Condomínio Central,D,6,6D,t3,125.2,194.54,Daniela Nunes Jesus,293284645,2016-02-20,332730.95,vazia
FR1792,Residencial Atlântico,c,-1,G63,Garagem,8.9,11.97,Vítor Mendes Silva,00000000,2022-02-03,20970.26,Vazia
FR2234,Torres do Sol,Torre 1,-1,G4,Garagem,97.7,182.87,Hugo Pereira Carvalho,199442801,2022-09-23,172124.63,Em obras
FR0183,Quinta das Palmeiras,b,-1,G95,Garagem,75.3,78.2,Rosa Martins Vieira,199034050,2009-09-19,70661.72,Arrendada
FR2065,Condomínio Central,A,6,6A,T3,122.5,191.02,Manuel Correia Alves,295751733,2012-01-22,112268.21,Arrendada
FR0373,Vila Verde,a,1,1C,T1,50.7,45.19,Beatriz Almeida Costa,293299062,2024-02-03,112753.15,Arrendada
FR1227,Vila Verde,A,2,2A,T3,115.9,98.18,Gonçalo Oliveira Silva,275388117,2014-11-17,166256.11,Arrendada
FR0073,Vila Verde,A,0,0F,T2,90.8,72.77,Patrícia Jesus Moreira,159330016,2018-04-14,77781.32,Arrendada
FR0012,Torres do Sol,Torre1,9,9D,T0,41.5,76.47,Mónica Matos Vieira,124693594,2015-11-17,26786.6,Ocupada
FR0666,Torres do Sol,Torre 2,-1,G40,Garagem,79.6,141.04,Gonçalo Mendes Vieira,262003057,2019-08-31,177181.84,Ocupada
FR0391,Quinta das Palmeiras,A,3,3B,T4,172.4,175.19,Carla Coelho Oliveira,217936206,2025-05-01,199747.48,Ocupada
FR1209,Quinta das Palmeiras,b,1,1C,T3,124.0,124.23,Joana Vieira Mendes,260020866,2008-09-06,171142.53,Arrendada
FR0946,Quinta das Palmeiras,B,4,4F,T2,88.2,96.17,Rui Almeida Fonseca,123905181,2017-01-08,104129.08,Em obras
FR0653,Quinta das Palmeiras,B,0,Loja B,Loja,88.7,92.42,Catarina Ferreira Raposo,137669689,2016-03-04,135490.87,Arrendada
FR0499,Jardins da Cidade,Sul,2,2B,T3,105.4,121.66,Mariana Jesus Costa,129768761,2024-08-25,261372.79,Arrendada
FR0773,Vila Verde,a,3,3E,T0,38.5,31.76,Vítor Ramos Nunes,134901023,2008-09-05,66860.35,Ocupada
FR2297,Condomínio Central,A,10,10D,T3,132.7,200.61,Tiago Alves Sousa,219340060,2024-12-27,197975.84,Vazia
FR1838,Quinta das Palmeiras,B,4,4E,T1,57.8,56.08,Fernando Cardoso Martins,130545618,2019-10-30,123044.69,Ocupada
FR0894,Condomínio Central,A,7,7A,T1,50.1,76.64,Miguel Gonçalves Marques,223931472,2014-06-07,64211.06,Arrendada
FR1626,Residencial Atlântico,A,0,0A,T3,113.6,137.41,Gonçalo Almeida Santos,232312186,2011-09-14,146785.34,Em obras
FR1816,Quinta das Palmeiras,A,0,G1,Garagem,88.4,93.82,João Rocha Pinto,238237136,2022-01-20,88047.86,Ocupada
FR1731,Torres do Sol,Torre1,7,7B,T2,73.2,134.53,Tiago Correia Soares,293296475,2022-09-10,,Vazia
FR1482,Jardins da Cidade,Norte,6,6E,T1,58.9,65.41,Mónica Ferreira Machado,294947480,2020-06-12,80117.54,Ocupada
FR1733,Vila Verde,A,2,2E,T1,68.8,57.92,Raquel Pires Rocha,133737716,2022-02-22,247212.22,Ocupada
FR0980,Residencial Atlântico,A,-1,G6,Garagem,84.5,101.79,Catarina Gonçalves Gomes,163366606,2018-12-29,150151.2,Arrendada
FR0652,Quinta das Palmeiras,b,2,2F,T1,45.9,48.42,Manuel Vieira Mendes,272791148,2015-10-03,44579.19,Vazia
FR2363,Residencial Atlântico,B,2,2A,T2,71.6,81.54,Filipa Fonseca Ribeiro,280514606,2019-05-11,130590.58,Vazia
FR2350,Jardins da Cidade,norte,4,4B,T2,88.3,99.04,Rita Alves Almeida,214256410,2009-01-11,94966.13,Arrendada
FR1083,Vila Verde,a,-1,G94,Garagem,78.4,68.46,Ana Costa Ribeiro,254361223,2017-11-10,,Ocupada
FR1917,Condomínio Central,C,-1,G2,Garagem,95.1,146.45,Joana Vieira Martins,294222668,2009-04-16,92564.8,Ocupada
FR1706,Residencial Atlântico,A,0,0E,T3,118.3,139.28,JORGE RIBEIRO PIRES,100784718,2020-05-05,225981.63,Ocupada
FR1287,Condomínio Central,A,3,3E,T3,132.0,19929.0,Pedro Cunha Fernandes,234509021,2009-02-17,115988.92,Ocupada
FR1897,Condomínio Central,A,9,9C,T2,82.1,125.33,Pedro Fonseca Alves,162664076,2016-08-15,200818.39,Ocupada
FR1662,Quinta das Palmeiras,b,1,1E,T1,56.1,60.94,Carlos Machado Pires,239710462,2016-08-11,71572.53,Vazia
FR1994,torres do sol,Torre 1,0,0A,T2,74.9,143.46,Filipa Silva Simões,156513728,2016-12-23,115781.46,Ocupada
FR2394,Condomínio Central,D,2,2B,T2,72.8,105.96,Fernando Cruz Neves,00000000,2009-11-22,43791.88,Ocupada
FR0709,Torres do Sol,Torre1,11,11C,t2,71.7,119.24,Rita Santos Fonseca,238862145,2021-10-31,141656.85,Ocupada
FR1696,Condomínio Central,C,6,6C,T0,31.6,51.99,João Pires Pires,167415137,2021-06-19,87734.35,Ocupada
FR2048,Residencial Atlântico,B,1,1B,T2,81.1,97.54,Pedro Neves Cardoso,262681887,2014-11-28,54153.65,Vazia
FR0978,Condomínio Central,A,10,10F,T1,51.4,75.62,Manuel Santos Marques,205916090,2016-07-22,105133.48,Ocupada
FR0533,Torres do Sol,Torre 1,11,11D,T2,93.1,173.4,Francisco Pereira Pereira,52578740,,173663.96,Arrendada
FR1086,Jardins da Cidade,norte,7,7A,T1,46.4,48.34,Carlos Cardoso Ferreira,158150189,2016-01-31,98378.53,Arrendada
FR2199,Torres do Sol,Torre1,12,12B,T2,97.4,177.63,Pedro Alves Monteiro,142219209,2025-03-12,287778.4,Arrendada
FR1358,Vila Verde,A,1,1E,T1,48.6,41.69,Rita Costa Ferreira,164583551,2014-03-28,51251.58,Arrendada
FR1058,Torres do Sol,Torre 1,8,8B,T4,179.7,330.42,Helena Ribeiro Pereira,161177455,2012-03-22,258149.52,Arrendada
FR2218,Quinta das Palmeiras,A,4,4C,T1,60.6,55.82,João Silva Lopes,184261286,2012-02-14,77383.93,Arrendada
FR0251,Vila Verde,A,4,4D,T2,83.2,77.73,Rui Gomes Mendes,294612528,2008-08-02,99700.1,Arrendada
FR1745,Jardins da Cidade,Norte,5,5D,T2,95.3,103.99,  Jorge Silva Moreira  ,136270618,2008-04-10,121708.37,Ocupada
FR0659,Jardins da Cidade,norte,0,0D,T1,53.2,66.94,Rita Silva Cunha,241084877,2017-10-17,94606.11,Ocupada
FR1339,Jardins da Cidade,Norte,4,4D,T2,70.6,80.38,Isabel Pires Vieira,167624077,2025-07-29,,Ocupada
FR0403,Jardins da Cidade,Sul,1,1A,T2,75.8,86.24,Ricardo Sousa Lopes,226449054,2023-03-04,136995.55,Arrendada
FR1249,Torres do Sol,Torre 2,7,7A,T2,96.4,177.14,Cristina Pires Neves,278553760,2022-10-07,162622.93,Ocupada
FR1013,Jardins da Cidade,Sul,-1,G15,Garagem,70.2,77.12,Alexandra Santos Simões,202829977,2014/10/07,38462.18,Em obras
FR2407,Residencial Atlântico,B,4,4C,T2,92.3,115.81,Teresa Mendes Almeida,172347660,2008-02-08,55954.06,Ocupada
FR1096,Jardins da Cidade,norte,4,4C,T3,119.2,132.27,Tiago Almeida Cardoso,231804881,2009-02-28,135651.48,Ocupada
FR0952,Vila Verde,a,-1,G64,Garagem,,70.17,Gonçalo Jesus Nunes,240252288,2021-09-05,159840.13,Vazia
FR0437,Torres do Sol,Torre1,12,12F,T4,154.2,277.51,Joana Ramos Moreira,203011423,2019-09-26,253639.85,Em obras
FR1329,Condomínio Central,A,2,2E,T4,192.7,287.15,Nuno Martins Pereira,156140652,2007-05-28,159807.32,Arrendada
FR1607,Condomínio Central,D,3,3F,T3,123.5,187.95,Marta Sousa Neves,202656559,2011-01-06,74685.31,Vazia
FR1439,Residencial Atlântico,c,8,8F,T2,99.1,112.51,Diogo Fonseca Pereira,221574659,2021-10-03,176420.94,Vazia
FR1534,Residencial Atlântico,B,6,6D,T1,62.4,74.59,Raquel Sousa Soares,167755231,2007-02-20,82946.61,Ocupada
FR0266,Condomínio Central,B,-1,G16,Garagem,96.3,149.37,Beatriz Costa Neves,123088179,2014-11-27,146994.22,Ocupada
FR2181,Vila Verde,a,4,4C,T1,55.5,45.15,Hugo Neves Fernandes,228958857,2012-07-03,53678.89,Arrendada
FR1166,Torres do Sol,Torre 2,12,12D,T1,57.2,99.9,Rui Reis Moreira,187268695,2024-07-12,159887.25,Ocupada
FR0892,Quinta das Palmeiras,b,1,1C,T1,62.1,64.37,Ana Vieira Carvalho,272868607,2019-04-27,109038.11,Ocupada
FR1150,Jardins da Cidade,norte,-1,G46,Garagem,79.2,0.0,Filipa Matos Antunes,275932668,2023-11-12,165683.97,Ocupada
FR1732,Residencial Atlântico,c,1,1F,T 0,34.4,43.07,Vasco Alves Rodrigues,174778159,2022-04-13,66174.7,Ocupada
FR0352,Residencial Atlântico,C,3,3B,T1,68.1,77.62,Beatriz Fonseca Neves,270199855,2017-08-17,83894.54,Arrendada
FR1513,Vila Verde,A,3,3E,T2,94.2,62.67,Jorge Ramos Marques,212823429,2010-11-05,111266.55,Arrendada
FR1510,Torres do Sol,Torre1,9,9C,T3,116.2,0.0,Inês Almeida Jesus,220127309,2018-01-15,243976.97,ARRENDADA
FR1871,Vila Verde,a,-1,G72,Garagem,87.5,66.23,Patrícia Ramos Gomes,279715876,2007-12-22,79726.48,Vazia
FR2349,Jardins da Cidade,norte,6,6A,T1,68.5,80.58,Marta Ferreira Santos,147361072,2019-10-25,98871.81,Arrendada
FR0905,Torres do Sol,Torre 2,11,11B,T3,121.8,216.18,Jorge Rocha Rodrigues,207285230,2023-01-18,133701.57,Ocupada
FR1322,Torres do Sol,Torre 1,3,3E,T3,113.9,213.06,Alexandra Pereira Pinto,243006545,2011-06-06,137229.7,Arrendada
FR1296,Jardins da Cidade,norte,1,1B,T1,64.7,61.62,Catarina Pires Monteiro,284346681,2006-04-09,44869.73,Arrendada
FR1973,VILA VERDE,A,-1,G97,Garagem,71.8,53.35,João Ramos Pinto,145989267,2009-03-20,88046.18,Arrendada
FR0942,vila verde,a,3,3B,T2,92.5,68.32,Fernando Rocha Ribeiro,258643088,2006-09-10,76649.69,Ocupada
FR0445,Vila Verde,A,3,3A,T4,167.3,136.62,Gonçalo Ramos Matos,257763048,2006-06-25,153068.31,Arrendada
FR0249,Torres do Sol,Torre 2,11,11A,T3,134.2,241.56,Ricardo Moreira Cardoso,120147890,2012-03-26,195630.5,Vazia
FR0800,Quinta das Palmeiras,A,5,5C,T2,72.7,76.58,Daniela Gomes Marques,228482055,2017-11-02,97968.92,Arrendada
FR1272,Quinta das Palmeiras,A,0,0D,T3,114.8,118.62,Cristina Machado Cruz,159308590,2013-05-27,155291.65,Arrendada
FR1117,Condomínio Central,B,8,8A,T2,91.5,135.54,Francisco Nunes Ribeiro,244551686,2015-05-13,174261.65,Ocupada
FR2294,Quinta das Palmeiras,B,0,Loja C,Loja,89.5,88.85,Beatriz Correia Lopes,286732574,2013-04-25,141858.27,Ocupada
FR1997,Jardins da Cidade,Sul,5,5A,T2,70.9,79.22,Francisco Almeida Cruz,125661837,2018-09-17,65389.55,Em obras
FR2490,Quinta das Palmeiras,A,6,6E,T3,129.8,129.51,Catarina Rocha Pires,224642278,2024-06-12,196647.09,Ocupada
FR0988,Residencial Atlântico,C,2,2A,T4,157.5,196.21,Francisco Oliveira Pires,286057515,2008-09-11,198814.82,Vazia
FR1730,Condomínio Central,A,-1,G97,Garagem,86.1,129.82,João Oliveira Neves,286070903,2015-01-19,126995.01,Em obras
FR1781,Condomínio Central,B,6,6B,T1,62.2,96.27,Inês Almeida Reis,236421921,2016-11-06,84689.93,Arrendada
FR1806,Residencial Atlântico,c,5,5F,T4,166.2,197.97,joão silva oliveira,118890517,2023-04-10,358246.49,Arrendada
FR2060,Vila Verde,a,2,2C,T2,79.4,62.71,José Almeida Gonçalves,150204522,2012-03-05,97415.04,Ocupada
FR0518,Vila Verde,a,1,1F,T2,89.5,69.78,  Jorge Moreira Cruz  ,143568763,2014-10-31,127726.5,Vazia
FR1508,Condomínio Central,C,10,10B,T3,135.5,206.35,Manuel Alves Soares,119230759,2015-10-10,287759.44,Ocupada
FR1340,Torres do Sol,Torre 2,11,11D,T3,114.0,206.09,Catarina Cruz Antunes,110609296,2012-02-17,166497.0,Ocupada
FR0083,Vila Verde,a,3,3E,T1,56.0,49.07,José Silva Soares,115922739,2024-09-01,134484.43,Ocupada
FR1885,Residencial Atlântico,C,4,4D,T3,101.4,126.16,Jorge Nunes Rodrigues,244058004,2022-01-16,194722.47,Em obras
FR0302,Vila Verde,A,-1,G100,Garagem,76.7,65.56,Sofia Machado Sousa,118293839,2005-12-15,77134.56,Em obras
FR2261,Vila Verde,A,4,4C,T1,45.6,44.97,Filipa Antunes Costa,224096241,2012-04-19,20221.18,Vazia
FR2402,torres do sol,Torre 2,5,5E,T2,72.1,132.58,Patrícia Reis Fonseca,188925701,2014-07-14,91700.29,Vazia
FR2353,Residencial Atlântico,C,4,4F,T3,,145.64,Catarina Gonçalves Machado,165451624,2008-04-19,126631.48,Ocupada
FR1836,Jardins da Cidade,Sul,5,5B,T4,161.7,184.31,Rui Rocha Moreira,176914383,2018-01-14,,Ocupada
FR1022,Jardins da Cidade,Norte,7,7F,T3,127.6,140.01,Manuel Reis Ferreira,190154465,2023-10-20,240274.3,Ocupada
FR0132,Residencial Atlântico,A,4,4B,T2,92.3,104.63,Rita Teixeira Jesus,140806725,2018-08-16,168059.1,Ocupada
FR0902,Torres do Sol,Torre 1,2,2B,T 2,74.3,128.19,Paula Costa Lopes,130689689,2010-04-26,,Em obras
FR0714,Condomínio Central,C,2,2A,T2,98.9,143.0,Teresa Carvalho Fernandes,153612265,2019.05.22,252399.88,Ocupada
FR1707,Condomínio Central,C,8,8F,T2,83.6,133.09,Beatriz  Pinto  Ferreira,40223399,2014-01-15,161065.98,Arrendada
FR0904,Condomínio Central,C,7,7A,T2,81.8,120.9,Marco Lopes Moreira,101307518,2015-06-11,153333.67,Ocupada
FR0816,Jardins da Cidade,Norte,4,4F,T3,133.5,146.05,Carlos Antunes Fernandes,218329659,2019-01-28,278157.97,Ocupada
FR0232,Torres do Sol,Torre1,3,3D,T2,88.6,157.82,Carla Soares Machado,241820100,2009-04-25,95966.59,Arrendada
FR0342,Residencial Atlântico,B,-1,G65,Garagem,88.3,102.83,Rosa Cunha Nunes,196415082,2011-12-10,171215.67,Arrendada
FR1236,quinta das palmeiras,b,-1,G76,Garagem,88.2,78.82,Filipa Cunha Pires,298930825,2013-06-11,,Ocupada
FR2057,Torres do Sol,Torre 2,3,3D,T1,64.1,124.84,Maria Moreira Nunes,210284417,2015-06-26,110993.77,Ocupada
FR2408,Torres do Sol,Torre1,7,7D,T2,81.4,14858.000000000002,Marta Rodrigues Fernandes,187938103,2011-07-28,120771.73,Arrendada
FR0786,Condomínio Central,C,2,2D,T2,85.6,139.71,Jorge  Neves  Martins,142061607,2018-02-16,119192.68,Arrendada
FR1333,Residencial Atlântico,B,2,2D,T 2,90.4,105.83,VASCO REIS FONSECA,190451848,2023-06-17,153374.87,Em obras
FR1149,Vila Verde,A,-1,G35,Garagem,91.9,74.78,Ana Pinto Correia,266154090,2020-05-25,89895.52,Arrendada
FR0895,Vila Verde,A,0,0A,T2,74.5,65.41,Mariana Pinto Gonçalves,246306912,2024-10-24,99711.48,Arrendada
FR2063,Condomínio Central,C,7,7C,T3,112.0,174.78,Manuel Neves Teixeira,186086249,2010-07-17,68540.83,Arrendada
FR0040,Residencial Atlântico,c,-1,G72,Garagem,93.8,105.41,Alexandra Raposo Gonçalves,134167130,2009-10-19,54662.56,Vazia
FR0650,Jardins da Cidade,Sul,5,5C,T1,54.8,62.94,Carla Coelho Santos,105581073,2009-07-15,63365.73,Arrendada
FR1578,Condomínio Central,A,-1,G7,Garagem,89.7,134.84,Gonçalo Nunes Teixeira,291378713,2024-02-06,182447.93,
FR1481,Jardins da Cidade,norte,7,7E,T1,67.8,68.34,João Correia Carvalho,233286758,2005-10-24,,Ocupada
FR2098,Vila Verde,A,1,1C,T2,96.7,67.58,Gonçalo Martins Carvalho,255291330,2014-05-16,163990.69,Arrendada
FR0017,Condomínio Central,D,5,5A,T3,122.1,179.58,Diogo Martins Nunes,104075767,2009-07-27,235905.46,Arrendada
FR1608,Condomínio Central,B,2,2C,T4,160.7,236.27,  Paulo Sousa Santos  ,148543687,2022-11-01,311113.9,Vazia
FR0997,Jardins da Cidade,norte,6,6E,T3,102.2,112.65,Rita Simões Ferreira,226580512,2025-01-10,177063.97,Arrendada
FR2132,Jardins da Cidade,norte,7,7A,T1,68.2,78.43,Gonçalo Moreira Santos,281571036,2020-12-09,,Em obras
FR2346,residencial atlântico,B,2,2A,T1,50.4,62.62,Raquel Teixeira Correia,172151286,2005-10-20,43948.77,OCUPADA
FR0396,Quinta das Palmeiras,B,1,1E,T2,96.4,93.6,Filipa Rocha Gonçalves,181801211,2025-08-31,203708.49,Ocupada
FR1526,Torres do Sol,Torre 1,5,5C,T3,128.8,229.22,António Machado Marques,154984361,2021/05/15,234564.22,Ocupada
FR1121,Torres do Sol,Torre1,0,G51,Garagem,75.1,134.75,Fernando Oliveira Matos,274485873,2011-11-19,60308.07,
FR2476,Vila Verde,A,-1,G45,Garagem,71.7,55.58,Hugo Vieira Cardoso,151968205,2020-04-24,75199.55,Vazia
